Hersteller;Produkt;Produktart;Herstellerseite (geprueft);Datenblatt-PDF (falls oeffentlich);SDS gefunden
"ACMOS CHEMIE";"ACMOS 118-222";"RELEASE_AGENT";"https://www.acmos.com/produkte-anwendungen/guss";"";"nein"
"ACMOS CHEMIE";"ACMOScoat 118-6078";"RELEASE_AGENT";"https://www.acmos.com/produkte-anwendungen/guss";"";"nein"
"Addinol";"ADDINOL Gleitbahnöl XG 68";"SLIDEWAY_OIL";"https://addinol.de/en/products/product-finder/addinol-gleitbahnoel-xg-68/";"";"nein"
"Addinol";"ADDINOL VDL 100";"COMPRESSOR_OIL";"https://addinol.de/en/products/industrial-lubricants/compressor-oils/vdl-100/";"";"nein"
"Addinol";"ADDINOL VDL 150";"COMPRESSOR_OIL";"https://addinol.de/en/products/industrial-lubricants/compressor-oils/vdl-150/";"";"nein"
"Atlas Copco";"Atlas Copco Roto-Xtend Duty Fluid";"COMPRESSOR_OIL";"https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil/2901170000-rotoxtend";"";"nein"
"BANDELIN electronic";"TICKOPUR R 33";"CLEANER";"https://bandelin.com/en/shop/cleaning-and-disinfecting-preparations/tickopur-cleaning-preparations-2/tickopur-r-33-universal-cleaner-for-ultrasonic-cleaning-concentrate/";"https://bandelin.com/chemie_Dr_STAMM/Produktinformation/TICKOPUR_R_33_DE_STAMM.pdf";"nein"
"BITZER";"BSE32";"REFRIGERATION_OIL";"https://www.bitzer.de/shared_media/html/kt-500/de-DE/265588619265592587.html";"";"nein"
"BITZER";"BSE55";"REFRIGERATION_OIL";"https://www.bitzer.de/shared_media/html/kt-500/de-DE/265588619265592587.html";"";"nein"
"Blaser Swisslube";"B-Cool 755";"COOLANT_WATER_MIX";"https://blaser.com/measuring-the-coolant-concentration/";"https://www.lastuamisnesteet.fi/wp-content/uploads/2020/05/B-cool-755-Esite.pdf";"nein"
"Blaser Swisslube";"Blasoclean AF";"ADDITIVE";"https://blaser.com/de/systemreiniger-fuer-gute-startbedingungen/";"https://blaser.com/wp-content/uploads/Blaser_College_Wassermischbare_KSS_Reinigung_Befu%CC%88llung_von-Maschinen_de-2.pdf";"nein"
"Blaser Swisslube";"Blasocut 2000 CF";"COOLANT_WATER_MIX";"https://www.lastuamisnesteet.fi/wp-content/uploads/2017/02/Blasocut2000-esite-eng.pdf";"https://www.lastuamisnesteet.fi/wp-content/uploads/2017/02/Blasocut2000-esite-eng.pdf";"nein"
"Blaser Swisslube";"Blasocut BC 25 MD";"COOLANT_WATER_MIX";"https://blaser.com/our-metalworking-solutions/water-miscible-fluids/";"https://static.brw.ch/pdf/520026_de.pdf";"nein"
"Blaser Swisslube";"Blasogrind GTC 7";"GRINDING_OIL";"https://blaser.com/blasogrind-gtc-7/";"https://blaser.com/wp-content/uploads/blaser_blasogrind_GTC_7_14.500_en.pdf";"nein"
"Blaser Swisslube";"Blasogrind GTM 15 HFP";"GRINDING_OIL";"https://blaser.com/blasogrind-gtm-15-hfp/";"";"nein"
"Blaser Swisslube";"Blasogrind GTS 15";"GRINDING_OIL";"https://blaser.com/blasogrind-gts-15/";"";"nein"
"Blaser Swisslube";"Blasospark GT 250";"EDM_FLUID";"https://blaser.com/blasosparkgt250";"https://blaser.com/wp-content/uploads/2021/06/blaser_blasospark_gt_250_10.130_en_us.pdf";"nein"
"Blaser Swisslube";"Synergy 735";"COOLANT_WATER_MIX";"https://www.lastuamisnesteet.fi/wp-content/uploads/2019/12/Synergy-735-Esite.pdf";"https://www.lastuamisnesteet.fi/wp-content/uploads/2019/12/Synergy-735-Esite.pdf";"nein"
"Busch";"Busch VM 100";"VACUUM_PUMP_OIL";"https://www.buschvacuum.com/global/en/products/genuine-oils-vm-032-150.html";"";"nein"
"Busch";"Busch VSI 100";"VACUUM_PUMP_OIL";"https://www.buschvacuum.com/global/en/products/genuine-oils-vsi-100.html";"";"nein"
"CPI Fluid Engineering";"Solest 68";"REFRIGERATION_OIL";"https://climalife.com/product/cpi-solest-series/";"https://climalife.com/wp-content/uploads/2022/09/uploadsproductmediadocumentsolest-68-v1.pdf";"nein"
"Carl Bechem";"Avantin 433";"COOLANT_WATER_MIX";"https://www.bechem.com";"https://www.bechem.com/_Resources/Persistent/c/4/6/1/c461ec46ef229652e1ecb2e47749f02539706e85/BECHEM_Avantin_433_DE.pdf";"nein"
"Carl Bechem";"Avantin 524";"COOLANT_WATER_MIX";"https://www.bechem.com";"https://www.bechem.com/_Resources/Persistent/5/d/2/c/5d2c8f4cabd201ffdb0f84f67d193858c3d3aff2/BECHEM_Avantin_524_DE.pdf";"nein"
"Carl Bechem";"BECHEM Unopol AL 570";"WIRE_DRAWING";"https://www.bechem.com/de/produkte/umformschmierstoffe/bechem-unopol-al-570.html";"";"nein"
"Carl Bechem";"BECHEM Unopol G 560";"WIRE_DRAWING";"https://www.bechem.com/de/produkte/umformschmierstoffe/bechem-unopol-g-560.html";"";"nein"
"Carl Bechem";"BECHEM Unopol S 621";"WIRE_DRAWING";"https://www.bechem.com/de/produkte/umformschmierstoffe/bechem-unopol-s-621.html";"";"nein"
"Carl Bechem";"BERUDRAW ZD 818 NEU";"WIRE_DRAWING";"https://www.bechem.com/de/produkte/umformschmierstoffe/berudraw-zd-818-neu.html";"";"nein"
"Carl Bechem";"Berudraw 2291-1";"FORMING_OIL";"https://www.bechem.com/de/produkte/umformschmierstoffe/berudraw-2291-1.html";"";"nein"
"Carl Bechem";"Berudraw 3955";"FORMING_OIL";"https://www.bechem.com/de/produkte/umformschmierstoffe/berudraw-3955.html";"";"nein"
"Carl Bechem";"Beruforge 100";"FORMING_OIL";"https://www.bechem.com/de/produkte/umformschmierstoffe/beruforge-100.html";"";"nein"
"Carl Bechem";"Beruprotect DW 20 M";"CORROSION_PROTECTION";"https://www.bechem.us/en/products/corrosion-inhibitor/beruprotect-dw-20-m.html";"";"nein"
"Carl Bechem";"Entschäumer FB";"ADDITIVE";"https://pdf.directindustry.de/pdf/carl-bechem/kuehlschmierstoffe/37339-308005.html";"";"nein"
"Castrol";"Castrol Hyspin Spindle Oil 10";"SPINDLE_OIL";"https://thelubricantoracle.castrol.com/product/hyspin-spindle-oil-10/industrial/en-US";"https://msdspds.castrol.com/bpglis/fusionpds.nsf/files/bc6d0aceb9d32cfb80257796002fd4ae/$file/460393_gb_en.pdf";"nein"
"Castrol";"Castrol Hyspin Spindle Oil 2";"SPINDLE_OIL";"https://thelubricantoracle.castrol.com/product/hyspin-spindle-oil-2/oil-gas/en-BR";"https://ctacnc.ca/wp-content/uploads/2023/06/Castrol-Hyspin-Spindle-Oil-2_Data-sheet.pdf";"nein"
"Castrol";"Castrol Magnaglide D 220";"SLIDEWAY_OIL";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/53AC56A6A08A16BD802585CA004E175D/$File/wepp-bsr4pk.pdf";"http://www.salube.net/downloads/tds/magnaglide-d68-slideway-oil.pdf";"nein"
"Castrol";"Hysol RD";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-hysol/castrol-hysol-rd";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/4B815924439643F180257796002FCA3D/$File/452287_XI_en.pdf";"nein"
"Castrol";"Hysol SL 45 XBB";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-hysol-sl-45/castrol-hysol-sl-45-xbb";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/F84567E75DBD8427802582AD0033AFB8/$File/BPXE-B23UDS.pdf";"nein"
"Castrol";"Hysol T 15";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-hysol-t/castrol-hysol-t-15";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/79D9B568CECADA60802582CF00351AE5/$File/BPXE-B2XURL.pdf";"nein"
"Castrol";"Hysol XF";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-hysol/castrol-hysol-xf";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/0E2C1E9E0C423193802588EE0027C7BB/$File/WEPP-CKSCJ7.pdf";"nein"
"Castrol";"Iloform FST 8";"FORMING_OIL";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/3DF1E96601B3758280257D27003E0AB2/$File/BPXE-8KMMTL_0.pdf";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/3DF1E96601B3758280257D27003E0AB2/$File/BPXE-8KMMTL_0.pdf";"nein"
"Castrol";"Iloquench 32";"QUENCHING_OIL";"https://www.castrol.com/en_za/south-africa/home/products/industrial/metalworking/quenching-fluids.html";"https://industrialfluidsmfg.twinoils.com/Asset/Iloquench%2032.pdf";"nein"
"Castrol";"Rustilo DW 330";"CORROSION_PROTECTION";"https://www.castrol.com/en_us/united-states/home/products/industrial/metalworking/corrosion-preventives.html";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/84BFFCE11083F608802584A2005603A6/$File/BPXE-BHKFX9.pdf";"nein"
"Castrol";"Rustilo DWX 32";"CORROSION_PROTECTION";"https://www.castrol.com/en_us/united-states/home/products/industrial/metalworking/corrosion-preventives.html";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/62279A681547662680257C13002B1116/$File/Rustilo%20DWX%2032.pdf";"nein"
"Castrol";"Syntilo 75 EF";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-syntilo-75/castrol-syntilo-75-ef";"";"nein"
"Castrol";"Syntilo 9913";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-syntilo/castrol-syntilo-9913";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/72A764F9AE9A10F98025779600303D88/$File/455241_AT_de.pdf";"nein"
"Castrol";"Syntilo 9954";"COOLANT_WATER_MIX";"https://www.unilub.eu/en/webshop/soluble-metalworking-fluids/castrol-syntilo/castrol-syntilo-9954";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/18D4B222E221496E8025779600303EA9/$File/458285_AT_de.pdf";"nein"
"Castrol";"Techniclean MTC 43";"ADDITIVE";"https://www.castrol.com/en_us/united-states/home/products/industrial/metalworking/cleaners.html";"https://msdspds.castrol.com/bpglis/FusionPDS.nsf/Files/14A56E0E968AF61280257FFF00520BC3/$File/BPXE-ACJ4VV.pdf";"nein"
"Castrol";"Techniclean XBC";"ADDITIVE";"https://www.castrol.com/en_us/united-states/home/products/our-brands/industrial/techniclean-xbc.html";"";"nein"
"Chem-Trend";"Lusin Alro O 153 S";"RELEASE_AGENT";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"nein"
"Chem-Trend";"Lusin Alro OL 202 F";"RELEASE_AGENT";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"nein"
"Cimcool";"Cimperial 1010";"COOLANT_WATER_MIX";"https://cimcool.com";"https://web.archive.org/web/20130930194601id_/http://www.cimcool.com:80/wp-content/uploads/manage-msds-pif/pif/CIMPERIAL%201010.pdf";"nein"
"Cimcool";"Cimstar 585";"COOLANT_WATER_MIX";"https://cimcool.com.au/PIFs/Cimstar/CIMSTAR_585_AUSPIF.pdf";"https://cimcool.com.au/PIFs/Cimstar/CIMSTAR_585_AUSPIF.pdf";"nein"
"Cimcool";"Cimstar 60C-HFP";"COOLANT_WATER_MIX";"https://products.duboischemicals.com/signature-collection/metalworking-fluids/cimstar-60c-hfp";"https://cdn.mscdirect.com/global/images/ProductDataSheet/pds_sku_1188523_technicaldatasheet_technicalspecifications_spec.pdf";"nein"
"Cimcool";"Cimstar 66";"COOLANT_WATER_MIX";"https://dtsindustrial.com/cimstar-66.html";"";"nein"
"Cimcool";"Cimtech 320";"COOLANT_WATER_MIX";"https://cimcool.com";"https://s3-us-east-2.amazonaws.com/milacron-website-media-offload/wp-content/uploads/2016/04/12194649/cimtech-320.pdf";"nein"
"Condat";"VICAFIL SENJA";"FORMING_OIL";"https://condatcorp.com/press-article/higher-drawing-stability-vicafil-senja";"";"nein"
"Condat";"VICAFIL SL";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/soluble-lubricants-wet-wire-drawing/";"";"nein"
"Condat";"VICAFIL SP";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/soluble-lubricants-wet-wire-drawing/";"";"nein"
"Condat";"VICAFIL TFG";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/wire-drawing-oils-greases/";"";"nein"
"Condat";"VICAFIL TFH";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/wire-drawing-oils-greases/";"";"nein"
"Cortec";"VpCI-368";"CORROSION_PROTECTION";"https://www.cortecvci.com/products/vpci-high-performance-coatings/vpci-368/";"https://www.cortecvci.com/Publications/PDS/VpCI-368.pdf";"nein"
"Cortec";"VpCI-369";"CORROSION_PROTECTION";"https://www.cortecvci.com/products/vpci-369/";"https://www.cortecvci.com/Publications/PDS/VpCI-369.pdf";"nein"
