Firma,Land,Ort,Website,Email,Telefon,Ansprechpartner,Funktion,Anrede,Kontaktseite,Tier,Status,Kontaktiert_am,Antwort,Termin,Notiz
"Maagtechnic AG",CH,"Dübendorf",maagtechnic.ch,info-ch@maagtechnic.com,"0848 111 333",—,—,"Guten Tag,","https://maagtechnic.ch/de/ueber-uns/kontakt/",A,offen,,,,
"Thommen-Furler AG",CH,"Rüti b. Büren",thommen-furler.ch,info@thommen-furler.ch,"+41 32 352 08 00",—,—,"Guten Tag,","https://www.thommen-furler.ch/de/kontakt",A,offen,,,,
"CREDIMEX",CH,"Alpnach",credimex.ch,credimex@credimex.ch,"+41 41 666 29 49",—,—,"Guten Tag,","https://www.credimex.ch/kontakt",A,offen,,,,
"Slidocuhl AG",CH,"Otelfingen",slidocuhl.ch,info@slidocuhl.ch,"+41 44 740 65 65","Stephan Hänggi","Geschäftsführer","Guten Tag Herr Hänggi,","https://www.slidocuhl.ch/impressum",A,offen,,,,
"Oel-Brack AG (Midland)",CH,"Hunzenschwil",midland.ch,info@oelbrack.ch,"+41 62 889 10 30",—,—,"Guten Tag,","https://www.midland.ch/de/kontakt",A,offen,,,,
"LAVEBA Genossenschaft",CH,"St. Gallen",laveba.ch,info@laveba.ch,"+41 58 400 66 66",—,—,"Guten Tag,","https://www.laveba.ch/kontakt",A,offen,,,,
"Eberhart Schmierstoffe AG",CH,"Zürich",eberhart.ch,info@eberhart.ch,"+41 52 368 70 00","Roman Eberhart","CEO","Guten Tag Herr Eberhart,","https://eberhart.ch/impressum",A,offen,,,,
"TM Schmierstoffzentrum GmbH",CH,"Münchwilen AG",schmierstoffzentrum.ch,info@schmierstoffzentrum.ch,"+41 76 341 47 46","Thomas Muchenberger","Kontaktperson","Guten Tag Herr Muchenberger,","https://shop.schmierstoffzentrum.ch/de/info/mein-kontakt.html",A,offen,,,,
"Diermeier Energie GmbH",DE,"Niederwinkling",schmierstoffe-dm.de,contact@diermeier-energie.com,"+49 9421 5500-34","Robert Wagner","Geschäftsführer","Guten Tag Herr Wagner,","https://schmierstoffe-dm.de/impressum",A,offen,,,,
"Baumann Mineralölvertrieb GmbH",DE,"Großrinderfeld",baumannoil.de,info@baumann-oil.de,"09349 929132","Jürgen Baumann","Geschäftsführer","Guten Tag Herr Baumann,","https://www.baumannoil.de/impressum",A,offen,,,,
"Liquon Schmierstoff GmbH",DE,"Weilheim",liquon.com,mail@liquon.com,"+49 881 90115180","Iris Löffler","Geschäftsführerin","Guten Tag Frau Löffler,","https://liquon.com/impressum",A,offen,,,,
"eVI Lubricants Germany GmbH (eVLG)",DE,"Schüttorf",evlg.de,office@evlg.de,"+49 40 521501-17","Robert Eissing","Geschäftsführer","Guten Tag Herr Eissing,","https://www.evlg.de/impressum",A,offen,,,,
"Öl- u. Schmierstoffhandel Bielefeld GmbH (Kranzoil)",DE,"Bielefeld",kranzoil.de,info@kranzoil.de,"0521 889457","Erik Kranz","Geschäftsführer","Guten Tag Herr Kranz,","https://www.kranzoil.de/impressum",A,offen,,,,
"Riedel GmbH",DE,"Eschbach",riedel-schmierstoffe.de,info@riedel-schmierstoffe.de,"+49 7634 699 66 0","Christian Scholz","Geschäftsführung","Guten Tag Herr Scholz,","https://www.riedel-schmierstoffe.de/impressum",A,offen,,,,
"esgemo GmbH & Co. KG",DE,"Mosbach",esgemo.de,info@esgemo.de,"06261 675 26 15","Carsten Zahradnik","Geschäftsführer","Guten Tag Herr Zahradnik,","https://le.esgemo.de/footer/impressum",A,offen,,,,
"Günther Köb Schmierstoffe GmbH",AT,"Kennelbach",koeb-oele.at,info@koeb-oele.at,"+43 5574 76323","Günther Köb","Geschäftsführung","Guten Tag Herr Köb,","https://www.koeb-oele.at/kontakt",A,offen,,,,
"WIFRA Handels GmbH",AT,"Traun",wifra.at,office@wifra.at,"+43 7229 223 68",—,—,"Guten Tag,","https://www.wifra.at/kontakt",A,offen,,,,
"KSS Beteiligungen GmbH (kss-handel.at)",AT,"Ennsdorf",kss-handel.at,office@kss-handel.at,"+43 7223 801 71",—,—,"Guten Tag,","https://www.kss-handel.at/kontakt",A,offen,,,,
"Haberkorn GmbH",AT,"Wolfurt",haberkorn.com,info.wolfurt@haberkorn.com,"+43 5574 695-0",—,—,"Guten Tag,","https://www.haberkorn.com/at/de/unternehmen/standorte/wolfurt",A,offen,,,,
